title,year,letterboxd_rating,source_url,slug,letterboxd_url,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,decade,decade_label,underperformance_category,key_insights,genre_pattern,marketing_assessment
The Long Walk,2019,4.0,https://letterboxd.com/films/,the-long-walk,https://letterboxd.com/film/the-long-walk/,0,0,6.9,"Drama, Horror, Mystery",Mattie Do,"Yannawoutthi Chanthalungsy, Vilouna Phetmany, Por Silatsa",An old Laotian hermit discovers that the ghost of a road accident victim can transport him back in time fifty years to the moment of his mother's painful death.,5 wins & 4 nominations total,116 min,Laos,Lao,True,0.0,0.0,,-2.9,2010,2010s,Limited Release,"This film masterfully blends Laotian folklore with poignant human drama, creating a haunting meditation on grief and memory through its unique supernatural premise. Its artistic merit lies in the delicate balance of mystical horror and emotional depth, offering a culturally specific narrative rarely seen in cinema. Despite minimal commercial reach, it resonates deeply with viewers for its lyrical storytelling and profound exploration of generational trauma.",Prestige Picture,"The primary marketing challenge is the lack of recognizable star power and the language barrier, which will limit broad international appeal and complicate efforts to attract viewers beyond niche or festival audiences."
HIM,2018,4.0,https://letterboxd.com/films/,him,https://letterboxd.com/film/him/,0,0,7.7,"Short, Drama",Runar Þór Sigurbjörnsson,"Ásgeir Sigurðsson, Bryndís Ásmundsdóttir, David Gudbrandsson","Andri, an anxious teenage boy, hides and represses his sexuality in fear of his masculine father's reaction but, on the eve of Andri's first date, he finds a clever way to reveal his secret.",N/A,14 min,Iceland,Icelandic,True,0.0,0.0,,-3.7,2010,2010s,Limited Release,"HIM resonates deeply through its raw, intimate portrayal of adolescent anxiety and repressed sexuality, capturing universal emotional truths with poignant subtlety. Its powerful, understated storytelling and authentic character development elevate it beyond its short runtime, making it a standout in queer cinema. Despite minimal commercial reach, its high ratings reflect its artistic integrity and emotional impact on those who discover it.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and limited international appeal of an Icelandic short film, compounded by the lack of recognizable star power to attract broader audiences."
Dead Poets Society,1989,4.0,https://letterboxd.com/films/,dead-poets-society,https://letterboxd.com/film/dead-poets-society/,95860116,0,8.1,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expressi",Won 1 Oscar. 20 wins & 19 nominations total,128 min,United States,"English, Latin, French",False,95.86,0.0,,-4.1,1980,1980s,N/A - Performed Well,Successful box office performance,N/A,N/A
The Conjuring,2013,4.0,https://letterboxd.com/films/,the-conjuring,https://letterboxd.com/film/the-conjuring/,137446368,0,7.5,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,15 wins & 22 nominations total,112 min,United States,"English, Latin",False,137.45,0.0,,-3.5,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
Good Will Hunting,1997,4.0,https://letterboxd.com/films/,good-will-hunting,https://letterboxd.com/film/good-will-hunting/,138433435,0,8.3,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","A therapist counsels Will Hunting, a janitor with a genius IQ.",Won 2 Oscars. 25 wins & 61 nominations total,126 min,United States,English,False,138.43,0.0,,-4.3,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
Sirāt,2016,4.0,https://letterboxd.com/films/,sirāt,https://letterboxd.com/film/sirāt/,0,0,0.0,"Short, Drama, War",Nuri Cihan Ozdogan,"Celal Kaan Aktas, Nevzat Kara, Taner Kara",A father who lost his everything at war dreaming of crossing the border with his son and a piece of peaceful land. But the cold breathe of war will never stop haunting those who witnessed it. To pass ,4 nominations total,14 min,Turkey,Arabic,True,0.0,0.0,,4.0,2010,2010s,Limited Release,"Despite its commercial invisibility, *Sirāt* resonates as a poignant, intimate portrayal of war's human toll, elevated by its raw emotional depth and minimalist storytelling. Its high artistic merit lies in its ability to convey profound tragedy through restrained visuals and powerful performances, striking a chord with critics and festival audiences. The film’s cultural impact stems from giving voice to overlooked narratives of displacement and loss, making it a quietly essential work in wartime cinema.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and limited runtime, which restrict broad audience appeal and complicate distribution beyond niche or festival circuits."
Together,2000,4.0,https://letterboxd.com/films/,together,https://letterboxd.com/film/together/,1034829,0,7.4,"Comedy, Drama, Romance",Lukas Moodysson,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson","In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids.",15 wins & 16 nominations,106 min,"Sweden, Denmark, Italy",Swedish,True,1.03,0.0,,-3.4,2000,2000s,Niche Appeal,"Together (2000) excels through its nuanced, humanistic portrayal of communal life, blending sharp social commentary with heartfelt humor and authentic character development. Its modest commercial performance contrasts with its critical acclaim, as it captures a specific cultural moment with universal emotional resonance. The film's intimate storytelling and poignant observations on idealism and relationships have earned it a devoted following and lasting artistic esteem.",Prestige Picture,"The primary marketing challenge is the language barrier, as a Swedish-language film limits its appeal in non-Scandinavian markets, compounded by the lack of internationally recognized star power to draw broader audiences."
allain♡,2009,4.0,https://letterboxd.com/films/,allain,https://letterboxd.com/film/allain/,0,0,8.0,"Short, Music",Brent Geisler,"Wade Allain-Marcus, David Baum, Nina Dobrev",N/A,N/A,4 min,USA,English,True,0.0,0.0,,-4.0,2000,2000s,Limited Release,"Despite its minimal commercial reach, ""allain♡"" excels as a poignant, visually driven short that resonates through its evocative music and intimate storytelling, capturing a raw emotional depth that appeals to niche audiences. Its high ratings reflect its ability to transcend conventional narrative constraints, offering a brief yet impactful artistic experience.",Arthouse Favorite,"The primary marketing challenge is the extremely short runtime of 4 minutes, which limits traditional distribution avenues and makes it difficult to position as a standalone commercial product."
Sydney🚀,2007,4.0,https://letterboxd.com/films/,sydney,https://letterboxd.com/film/sydney/,11892415,0,6.2,"Comedy, Drama, Romance",Joe Nussbaum,"Amanda Bynes, Sara Paxton, Matt Long","After being banished from the most popular sorority on campus, Sydney White teams up with a group of socially awkward outcasts to outdo the queen at her own game.",N/A,108 min,United States,English,True,11.89,0.0,,-2.2,2000,2000s,Poor Marketing,"Sydney White offers a clever, modern retelling of Snow White that subverts typical teen comedy tropes, championing inclusivity and genuine friendship over superficial popularity. Its sharp wit and heartfelt performances resonate with audiences seeking substance in the genre, earning it a cult following that appreciates its empowering message and charm beyond its initial box office reception.",Prestige Picture,"Limited star power with Amanda Bynes as the lead, who lacked broad mainstream appeal, making it difficult to attract a wide audience beyond her niche teen fanbase."
The Smashing Machine,2002,4.0,https://letterboxd.com/films/,the-smashing-machine,https://letterboxd.com/film/the-smashing-machine/,0,0,7.7,"Documentary, Sport",John Hyams,"Mark Kerr, Mark Coleman, Dawn Staples","This is a documentary that follows M.M.A. great Mark Kerr, and his string of amazing victories in the ring.",N/A,93 min,United States,English,True,0.0,0.0,,-3.7,2000,2000s,Limited Release,"""The Smashing Machine"" is a raw and unflinching look at the brutal reality of MMA beyond the spectacle, capturing Mark Kerr’s personal struggles with addiction and pain with remarkable intimacy. Its artistic merit lies in its honest, vérité-style filmmaking, which humanizes an athlete in a way rarely seen in sports documentaries. Despite its commercial obscurity, it remains a cult classic for its profound emotional depth and pioneering portrayal of the sport’s darker truths.",Documentary/Educational,"The primary marketing challenge is the lack of recognizable star power, as the film features real-life MMA fighters and non-actors, making it difficult to attract mainstream audiences beyond niche fight enthusiasts."
Anemone,2018,4.0,https://letterboxd.com/films/,anemone,https://letterboxd.com/film/anemone/,0,0,9.0,"Short, Drama",Amrou Al-Kadhi,"Sekela Nancy Ngamilo, Ione Brown, Tsion Habte",A second-generation teen searches for a way to express their non-binary identity.,2 nominations,18 min,United Kingdom,English,True,0.0,0.0,,-5.0,2010,2010s,Limited Release,"Anemone resonates as a hidden gem due to its poignant and authentic portrayal of non-binary identity, offering rare and meaningful representation that deeply connects with underserved audiences. Its artistic merit lies in its subtle yet powerful storytelling and emotional depth, which, despite limited commercial reach, has earned critical acclaim and fostered important cultural conversations.",Prestige Picture,"The primary marketing challenge is the lack of recognizable star power, which will make it difficult to attract attention and build credibility in a crowded market."
Karsten,2015,4.0,https://letterboxd.com/films/,karsten,https://letterboxd.com/film/karsten/,0,0,6.4,Family,Arne Lindtner Næss,"Nora Amundsen, Hilde Louise Asbjørnsen, Felicia Formoe","Karsten (Casper in some countries) and Emma go with Emma's Mother to Africa to help with a veterinarian, Emma's mother's friend.",N/A,75 min,Norway,Norwegian,True,0.0,0.0,,-2.4,2010,2010s,Limited Release,"Despite its limited release, ""Karsten"" captivates with its heartfelt portrayal of cross-cultural friendship and conservation themes, resonating deeply with family audiences through authentic performances and scenic African landscapes. Its high Letterboxd rating reflects appreciation for its earnest storytelling and emotional sincerity, which overshadow its modest production and niche appeal.",Documentary/Educational,"The primary marketing challenge is overcoming limited international appeal due to its Norwegian language and lack of globally recognized actors, restricting its reach beyond niche arthouse or Scandinavian-focused audiences."
