title,year,letterboxd_rating,source_url,slug,letterboxd_url,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,decade,decade_label,underperformance_category,key_insights,genre_pattern,marketing_assessment
The Long Walk,2019,4.0,https://letterboxd.com/films/,the-long-walk,https://letterboxd.com/film/the-long-walk/,0,0,6.9,"Drama, Horror, Mystery",Mattie Do,"Yannawoutthi Chanthalungsy, Vilouna Phetmany, Por Silatsa",An old Laotian hermit discovers that the ghost of a road accident victim can transport him back in time fifty years to the moment of his mother's painful death.,5 wins & 4 nominations total,116 min,Laos,Lao,True,0.0,0.0,,-2.9,2010,2010s,Limited Release,"The Long Walk stands out as a hauntingly poetic fusion of Laotian folklore and supernatural mystery, offering a deeply personal yet culturally resonant exploration of grief and memory. Its meditative pacing and atmospheric storytelling, while alienating mainstream audiences, create an immersive experience that lingers emotionally. The film’s critical acclaim stems from its unique voice and visionary approach to blending genre elements with profound human themes.",Prestige Picture,"The primary marketing challenge is the lack of recognizable star power and the language barrier, which will limit broad international appeal and complicate efforts to attract audiences outside of Laos and niche arthouse markets."
HIM,2018,4.0,https://letterboxd.com/films/,him,https://letterboxd.com/film/him/,0,0,7.7,"Short, Drama",Runar Þór Sigurbjörnsson,"Ásgeir Sigurðsson, Bryndís Ásmundsdóttir, David Gudbrandsson","Andri, an anxious teenage boy, hides and represses his sexuality in fear of his masculine father's reaction but, on the eve of Andri's first date, he finds a clever way to reveal his secret.",N/A,14 min,Iceland,Icelandic,True,0.0,0.0,,-3.7,2010,2010s,Limited Release,"HIM stands out for its poignant and intimate portrayal of adolescent anxiety and repressed sexuality, masterfully conveyed through subtle performances and evocative visual storytelling. Its short format and deeply personal narrative, while limiting commercial appeal, resonate powerfully with audiences for its emotional authenticity and universal themes of identity and acceptance.",Prestige Picture,"The primary marketing challenge is the combination of a very short runtime (14 minutes) and the language barrier (Icelandic with limited international appeal), which together limit its commercial viability and appeal to mainstream audiences."
Dead Poets Society,1989,4.0,https://letterboxd.com/films/,dead-poets-society,https://letterboxd.com/film/dead-poets-society/,95860116,0,8.1,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expressi",Won 1 Oscar. 20 wins & 19 nominations total,128 min,United States,"English, Latin, French",False,95.86,0.0,,-4.1,1980,1980s,N/A - Performed Well,Successful box office performance,N/A,N/A
The Conjuring,2013,4.0,https://letterboxd.com/films/,the-conjuring,https://letterboxd.com/film/the-conjuring/,137446368,0,7.5,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,15 wins & 22 nominations total,112 min,United States,"English, Latin",False,137.45,0.0,,-3.5,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
Good Will Hunting,1997,4.0,https://letterboxd.com/films/,good-will-hunting,https://letterboxd.com/film/good-will-hunting/,138433435,0,8.3,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","A therapist counsels Will Hunting, a janitor with a genius IQ.",Won 2 Oscars. 25 wins & 61 nominations total,126 min,United States,English,False,138.43,0.0,,-4.3,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
Sirāt,2016,4.0,https://letterboxd.com/films/,sirāt,https://letterboxd.com/film/sirāt/,0,0,0.0,"Short, Drama, War",Nuri Cihan Ozdogan,"Celal Kaan Aktas, Nevzat Kara, Taner Kara",A father who lost his everything at war dreaming of crossing the border with his son and a piece of peaceful land. But the cold breathe of war will never stop haunting those who witnessed it. To pass ,4 nominations total,14 min,Turkey,Arabic,True,0.0,0.0,,4.0,2010,2010s,Limited Release,"Sirāt's profound emotional depth and poignant anti-war message resonate powerfully despite its limited reach, showcasing raw human resilience through minimalist storytelling. Its critical acclaim stems from an authentic portrayal of displacement and loss, capturing universal themes through intimate, culturally specific lens that mainstream cinema often overlooks.",Prestige Picture,"The primary marketing challenge is the combination of a very short runtime (14 minutes) and a niche language (Arabic) in a predominantly Turkish market, which limits both theatrical appeal and broad audience accessibility."
Together,2000,4.0,https://letterboxd.com/films/,together,https://letterboxd.com/film/together/,1034829,0,7.4,"Comedy, Drama, Romance",Lukas Moodysson,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson","In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids.",15 wins & 16 nominations,106 min,"Sweden, Denmark, Italy",Swedish,True,1.03,0.0,,-3.4,2000,2000s,Niche Appeal,"Together (2000) excels through its poignant yet understated exploration of communal idealism and personal fragility, blending sharp wit with genuine warmth. Its authentic portrayal of 1970s counterculture and nuanced character dynamics resonate deeply, offering both humor and emotional depth. This balance of satire and sincerity, coupled with strong ensemble performances, cements its status as a cult favorite despite limited commercial reach.",Prestige Picture,"The primary marketing challenge is the language barrier, as a Swedish-language film limits its appeal and accessibility in broader international markets, particularly English-speaking ones."
Sydney🚀,2007,4.0,https://letterboxd.com/films/,sydney,https://letterboxd.com/film/sydney/,11892415,0,6.2,"Comedy, Drama, Romance",Joe Nussbaum,"Amanda Bynes, Sara Paxton, Matt Long","After being banished from the most popular sorority on campus, Sydney White teams up with a group of socially awkward outcasts to outdo the queen at her own game.",N/A,108 min,United States,English,True,11.89,0.0,,-2.2,2000,2000s,Poor Marketing,"Despite its commercial underperformance, *Sydney* resonates as a modern, clever retelling of *Snow White* that subverts typical teen comedy tropes with genuine heart and wit. Its charm lies in its authentic celebration of outsider camaraderie and sharp, self-aware humor, which have earned it a dedicated cult following over time.",Prestige Picture,"The primary marketing challenge is the limited star power of the cast, which may struggle to draw significant audience interest or media attention in a crowded film market."
allain♡,2009,4.0,https://letterboxd.com/films/,allain,https://letterboxd.com/film/allain/,0,0,8.0,"Short, Music",Brent Geisler,"Wade Allain-Marcus, David Baum, Nina Dobrev",N/A,N/A,4 min,USA,English,True,0.0,0.0,,-4.0,2000,2000s,Limited Release,"Despite its minimal commercial reach, ""allain♡"" captivates through its experimental fusion of music and visual poetry, offering a deeply personal and immersive experience. Its high ratings reflect its ability to resonate emotionally with niche audiences, celebrating artistic authenticity over mainstream appeal.",Arthouse Favorite,"The primary marketing challenge is the extremely short runtime (4 minutes), which complicates traditional distribution and limits perceived value for audiences."
Anemone,2018,4.0,https://letterboxd.com/films/,anemone,https://letterboxd.com/film/anemone/,0,0,9.0,"Short, Drama",Amrou Al-Kadhi,"Sekela Nancy Ngamilo, Ione Brown, Tsion Habte",A second-generation teen searches for a way to express their non-binary identity.,2 nominations,18 min,United Kingdom,English,True,0.0,0.0,,-5.0,2010,2010s,Limited Release,"Anemone resonates deeply through its authentic and poignant exploration of non-binary identity, offering rare and meaningful representation that critics and niche audiences highly value. Its artistic merit lies in its intimate storytelling and emotional depth, which, despite limited commercial reach, have cemented its status as a culturally significant work within LGBTQ+ cinema.",Prestige Picture,"The primary marketing challenge is the lack of recognizable star power, which will make it difficult to attract broad audience attention and secure prominent distribution or promotional opportunities."
The Smashing Machine,2002,4.0,https://letterboxd.com/films/,the-smashing-machine,https://letterboxd.com/film/the-smashing-machine/,0,0,7.7,"Documentary, Sport",John Hyams,"Mark Kerr, Mark Coleman, Dawn Staples","This is a documentary that follows M.M.A. great Mark Kerr, and his string of amazing victories in the ring.",N/A,93 min,United States,English,True,0.0,0.0,,-3.7,2000,2000s,Limited Release,"The Smashing Machine offers an unflinching, intimate look at the brutal reality of MMA and the personal demons of Mark Kerr, transcending typical sports documentaries with its raw, vérité style. Its artistic merit lies in its fearless portrayal of vulnerability and addiction, capturing a human story that resonates beyond the ring. Despite its commercial obscurity, it remains a cult classic for its profound emotional depth and authentic depiction of the sport's early days.",Documentary/Educational,"The primary marketing challenge is the lack of star power, as the film features real-life MMA fighters and non-actors, limiting mainstream appeal and broader audience draw."
Karsten,2015,4.0,https://letterboxd.com/films/,karsten,https://letterboxd.com/film/karsten/,0,0,6.4,Family,Arne Lindtner Næss,"Nora Amundsen, Hilde Louise Asbjørnsen, Felicia Formoe","Karsten (Casper in some countries) and Emma go with Emma's Mother to Africa to help with a veterinarian, Emma's mother's friend.",N/A,75 min,Norway,Norwegian,True,0.0,0.0,,-2.4,2010,2010s,Limited Release,"Despite its limited release, ""Karsten"" resonates deeply with audiences for its heartfelt portrayal of cross-cultural friendship and its gentle, authentic depiction of family dynamics in an African setting. Its high Letterboxd rating reflects appreciation for its sincere storytelling and charming character development, which stand out in the family genre. The film’s subtle cultural insights and emotional warmth make it a quietly impactful viewing experience, overlooked by mainstream audiences but cherished by those who discover it.",Mainstream Friendly,"The primary marketing challenge is overcoming the language barrier and limited international appeal of a Norwegian-language film with no globally recognized stars, restricting its potential reach beyond niche arthouse audiences."
